GO:0022607	P	0.09	cellular component assembly
GO:0043683	P	0.08	type IV pilus biogenesis
GO:0043107	P	0.08	type IV pilus-dependent motility
GO:2000590	P	0.01	negative regulation of metanephric mesenchymal cell migration
GO:2000584	P	0.01	negative regulation of platelet-derived growth factor receptor-alpha signaling pathway
GO:2000534	P	0.01	positive regulation of renal albumin absorption
GO:2000481	P	0.01	positive regulation of cAMP-dependent protein kinase activity
GO:2000478	P	0.01	positive regulation of metanephric glomerular visceral epithelial cell development
GO:2000467	P	0.01	positive regulation of glycogen (starch) synthase activity
GO:2000279	P	0.01	negative regulation of DNA biosynthetic process
