GO:0000166	F	0.33	nucleotide binding
GO:0016491	F	0.22	oxidoreductase activity
GO:0052890	F	0.05	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor
GO:0050660	F	0.05	flavin adenine dinucleotide binding
GO:0009055	F	0.05	electron carrier activity
GO:0003995	F	0.05	acyl-CoA dehydrogenase activity
GO:0000062	F	0.05	fatty-acyl-CoA binding
GO:0035639	F	0.03	purine ribonucleoside triphosphate binding
GO:0032559	F	0.03	adenyl ribonucleotide binding
GO:0032550	F	0.03	purine ribonucleoside binding
