GO:2000112	P	0.08	regulation of cellular macromolecule biosynthetic process
GO:0080090	P	0.08	regulation of primary metabolic process
GO:0051171	P	0.08	regulation of nitrogen compound metabolic process
GO:0010468	P	0.08	regulation of gene expression
GO:0048523	P	0.07	negative regulation of cellular process
GO:0017148	P	0.06	negative regulation of translation
GO:0000288	P	0.06	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:2001259	P	0.01	positive regulation of cation channel activity
GO:2001137	P	0.01	positive regulation of endocytic recycling
GO:2000273	P	0.01	positive regulation of receptor activity
