GO:0044763	P	0.28	single-organism cellular process
GO:0044765	P	0.10	single-organism transport
GO:1901564	P	0.07	organonitrogen compound metabolic process
GO:0044711	P	0.07	single-organism biosynthetic process
GO:0044249	P	0.07	cellular biosynthetic process
GO:0009117	P	0.07	nucleotide metabolic process
GO:1901576	P	0.06	organic substance biosynthetic process
GO:0061732	P	0.02	mitochondrial acetyl-CoA biosynthetic process from pyruvate
GO:0015986	P	0.02	ATP synthesis coupled proton transport
GO:0040007	P	0.01	growth
