GO:0048013	P	0.01	ephrin receptor signaling pathway
GO:0043085	P	0.01	positive regulation of catalytic activity
GO:0043065	P	0.01	positive regulation of apoptotic process
GO:0042987	P	0.01	amyloid precursor protein catabolic process
GO:0035725	P	0.01	sodium ion transmembrane transport
GO:0031293	P	0.01	membrane protein intracellular domain proteolysis
GO:0016485	P	0.01	protein processing
GO:0015992	P	0.01	proton transport
GO:0009813	P	0.01	flavonoid biosynthetic process
GO:0009698	P	0.01	phenylpropanoid metabolic process
