GO:0016772	F	0.60	transferase activity, transferring phosphorus-containing groups
GO:0016301	F	0.51	kinase activity
GO:0019200	F	0.34	carbohydrate kinase activity
GO:0016773	F	0.21	phosphotransferase activity, alcohol group as acceptor
GO:0035639	F	0.06	purine ribonucleoside triphosphate binding
GO:0032559	F	0.06	adenyl ribonucleotide binding
GO:0032550	F	0.06	purine ribonucleoside binding
GO:0045127	F	0.04	N-acetylglucosamine kinase activity
GO:0009384	F	0.01	N-acylmannosamine kinase activity
GO:0005524	F	0.01	ATP binding
